,Altitude,Latitude,Longitude,Injury.Severity,Aircraft.Damage,Number.of.Engines,Engine.Type,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Total.Passengers
3681,1.8,41.334722,-70.299444,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3682,2076.2,38.942777,-104.57,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3683,429.4,37.6925,-97.543611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3684,1982.1,44.673611,-111.42444499999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3685,275.1,43.032778,-88.23472199999999,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3686,1206.5,39.499165999999995,-118.74888899999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3687,615.8,40.176111,-76.726945,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,APPROACH,2
3688,60.9,31.479445000000002,-92.461111,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3689,1701.2,42.815278,-108.72861100000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3690,23.0,60.978889,-151.892222,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,TAKEOFF,2
3691,1610.8,40.039444,-105.22611100000002,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3692,268.2,61.314167000000005,-151.224445,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3693,446.4,41.143333,-85.152778,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,APPROACH,2
3694,332.8,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,0,2,0,VMC,DESCENT,2
3695,213.8,36.266667,-95.783611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3696,342.8,63.951111,-144.67166699999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3697,78.4,36.225834000000006,-90.036666,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3698,12496.3,30.075278000000004,-93.695277,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CRUISE,2
3699,12253.599999999999,40.924445,-85.017223,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,IMC,CRUISE,2
3700,49.5,38.945,-76.77333399999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3701,1.6,29.959166999999997,-81.339722,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,2,0,VMC,LANDING,2
3702,2.8,26.378611,-80.108333,NON-FATAL,DESTROYED,4,UNKNOWN,PERSONAL,0,1,1,0,VMC,TAKEOFF,2
3703,1864.3,38.805833,-104.70083299999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAXI,2
3704,57.0,29.844721999999997,-82.0475,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAXI,2
3705,11764.5,34.4,-100.887222,NON-FATAL,SUBSTANTIAL,1,TURBO PROP,PERSONAL,0,0,1,1,VMC,MANEUVERING,2
3706,405.9,39.039444,-122.90777800000001,NON-FATAL,SUBSTANTIAL,1,TURBO PROP,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3707,17.9,32.22,-91.87,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3708,372.4,42.742777000000004,-94.647222,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3709,376.1,46.318889,-87.281945,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,DESCENT,2
3710,192.1,36.198333,-95.88805500000001,NON-FATAL,SUBSTANTIAL,2,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3711,327.5,42.757222,-83.35333299999999,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,2,0,0,VMC,TAKEOFF,2
3712,86.1,34.0925,-118.03111100000001,NON-FATAL,SUBSTANTIAL,4,TURBO FAN,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3713,12414.3,30.403889000000003,-95.43722199999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,CRUISE,2
3714,1520.5,34.654722,-112.41916699999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3715,714.3,34.741111,-118.21861100000001,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,0,2,VMC,DESCENT,2
3716,12231.4,40.405278,-86.242777,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CRUISE,2
3717,1287.5,40.718889000000004,-114.030556,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3718,302.7,61.49333299999999,-151.906389,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3719,468.3,41.3775,-79.860556,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3720,324.4,47.049166,-91.745277,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3721,185.1,41.785833000000004,-87.7525,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3722,332.8,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,2,0,VMC,CLIMB,2
3723,0.5,38.141110999999995,-122.555833,NON-FATAL,SUBSTANTIAL,1,TURBO PROP,BUSINESS,0,0,0,2,VMC,LANDING,2
3724,8.3,60.58944399999999,-152.1575,NON-FATAL,SUBSTANTIAL,2,RECIPROCATING,BUSINESS,0,0,0,2,VMC,LANDING,2
3725,2077.0,38.943611,-104.570278,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3726,500.5,63.32944499999999,-142.951944,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3727,278.4,43.772223,-84.946111,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,BUSINESS,0,1,0,1,VMC,TAKEOFF,2
3728,40.0,47.559444,-121.863611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,LANDING,2
3729,347.0,62.4775,-153.519723,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3730,114.3,36.228334000000004,-121.121389,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3731,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3732,218.9,61.687777000000004,-151.400833,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,1,0,1,VMC,LANDING,2
3733,445.8,33.688333,-112.0825,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3734,9029.7,44.421667,-111.52861100000001,NON-FATAL,DESTROYED,1,RECIPROCATING,UNKNOWN,0,0,2,0,VMC,MANEUVERING,2
3735,3.4,29.693333000000003,-81.50694399999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,TAKEOFF,2
3736,682.0,41.393333,-70.613889,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,IMC,APPROACH,2
3737,57.8,37.186944,-77.503333,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3738,9.1,27.266666999999998,-80.850278,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3739,1.6,25.005,-80.532223,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3740,1948.8,44.208611,-114.934444,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3741,299.4,35.856944,-83.524445,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3742,322.2,46.566945000000004,-120.537222,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3743,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3744,491.6,37.815833000000005,-85.964722,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,APPROACH,2
3745,189.2,36.041111,-95.983056,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3746,559.2,33.901111,-87.304167,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,APPROACH,2
3747,15.6,61.996389,-159.366945,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3748,258.4,37.633611,-85.24194399999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,LANDING,2
3749,575.3,32.697777,-95.213611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,APPROACH,2
3750,1889.3,34.982223,-106.013333,NON-FATAL,SUBSTANTIAL,2,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3751,230.6,33.988889,-117.41,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3752,409.3,37.566389,-97.17444499999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,TAKEOFF,2
3753,12483.8,38.525278,-121.70388899999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CRUISE,2
3754,40.1,30.543333,-87.564722,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,LANDING,2
3755,207.2,36.290833,-92.590277,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3756,254.4,64.36,-147.36,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3757,4.7,32.224445,-80.6975,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3758,166.7,37.038055,-121.11805600000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3759,694.8,27.163333,-80.285833,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,APPROACH,2
3760,124.6,37.778056,-89.251944,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3761,2.4,41.446389,-72.4575,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3762,147.9,38.01,-77.967223,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3763,645.1,41.803056,-78.64,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3764,12063.4,42.538889000000005,-122.90388899999999,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,0,2,0,VMC,MANEUVERING,2
3765,523.7,62.961110999999995,-141.928056,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,POSITIONING,0,0,0,2,VMC,LANDING,2
3766,12.0,39.941944,-74.848611,NON-FATAL,SUBSTANTIAL,2,TURBO PROP,BUSINESS,0,0,0,2,VMC,TAKEOFF,2
3767,2073.2,39.019166999999996,-108.767778,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3768,11869.599999999999,35.936389,-114.854444,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,1,1,0,VMC,GO-AROUND,2
3769,1342.1,39.499165999999995,-119.768056,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,0,2,VMC,LANDING,2
3770,904.4,48.310556,-114.256111,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,0,2,VMC,LANDING,2
3771,461.3,32.770834,-98.042777,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,APPROACH,2
3772,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3773,10887.2,35.927223,-119.271945,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PUBLIC AIRCRAFT,0,0,0,2,VMC,MANEUVERING,2
3774,237.6,32.960278,-112.67361100000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3775,1101.4,44.190277,-120.82055600000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3776,205.7,33.983610999999996,-87.059444,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3777,311.0,45.548055,-94.069723,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3778,919.6,39.223889,-121.013333,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PERSONAL,0,0,2,0,VMC,LANDING,2
3779,52.1,44.808056,-68.82944499999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,LANDING,2
3780,669.8,41.526945,-72.831389,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,APPROACH,2
3781,1563.1,37.016667,-110.200556,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3782,7.9,29.301111,-81.113889,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3783,66.9,33.877778,-88.4875,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,LANDING,2
3784,45.5,30.061667,-95.552778,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAXI,2
3785,158.2,36.4925,-79.311667,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,TAKEOFF,2
3786,291.4,43.576945,-85.283889,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3787,74.7,44.497222,-123.28944399999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3788,572.4,32.815556,-117.13972199999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CLIMB,2
3789,2.5,27.0,-82.0,NON-FATAL,SUBSTANTIAL,2,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3790,10647.0,46.459167,-97.185277,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,OTHER WORK USE,0,0,0,2,VMC,MANEUVERING,2
3791,202.2,46.695,-92.095,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3792,414.4,45.534721999999995,-98.613056,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,LANDING,2
3793,640.6,45.241389,-122.768611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,APPROACH,2
3794,2133.9,37.405,-112.909167,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3795,546.4,32.755833,-97.297777,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,APPROACH,2
3796,300.6,34.259444,-118.41333300000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3797,414.7,38.053889,-84.57388900000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,APPROACH,2
3798,698.4,29.707221999999998,-91.296389,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,APPROACH,2
3799,34.9,33.801389,-118.341944,NON-FATAL,MINOR,4,RECIPROCATING,PERSONAL,0,0,1,1,VMC,TAXI,2
3800,192.1,33.975278,-117.635277,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,0,2,0,VMC,LANDING,2
3801,692.2,28.67,-96.68083399999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,APPROACH,2
3802,442.8,32.954444,-111.765556,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,LANDING,2
3803,1536.9,40.164167,-105.16361100000002,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3804,11325.699999999999,46.289165999999994,-111.51944499999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,MANEUVERING,2
3805,12206.699999999999,30.532778000000004,-98.323611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,CRUISE,2
3806,45.5,61.5375,-149.850278,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3807,10827.4,33.885555,-82.2775,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,FLIGHT TEST,0,0,2,0,VMC,CRUISE,2
3808,12494.3,26.451110999999997,-80.537777,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CRUISE,2
3809,491.2,37.659167,-96.527778,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3810,384.5,34.039444,-84.585833,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,APPROACH,2
3811,199.0,34.984722,-81.05805600000001,NON-FATAL,SUBSTANTIAL,2,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3812,6.8,59.878889,-147.747777,NON-FATAL,DESTROYED,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3813,1161.0,31.999166,-110.355833,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3814,2073.2,38.940554999999996,-104.568611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3815,12427.0,31.9,-94.08,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CRUISE,2
3816,695.5,34.160278000000005,-111.725834,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3817,56.6,41.916111,-72.776945,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,LANDING,2
3818,106.6,34.374167,-118.96194399999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3819,548.2,40.0,-77.0,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,APPROACH,2
3820,741.2,44.665556,-121.153333,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3821,1513.0,40.110833,-104.70083299999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,APPROACH,2
3822,671.4,61.251667000000005,-149.963889,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,POSITIONING,0,0,0,2,VMC,APPROACH,2
3823,0.6,30.038611,-90.026389,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3824,403.7,42.367222999999996,-122.86916699999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3825,174.0,35.416667,-80.15083299999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3826,277.2,33.980278000000006,-83.660833,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3827,700.0,61.235277,-149.94305500000002,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,DESCENT,2
3828,606.5,30.32,-96.36,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,PUBLIC AIRCRAFT,0,0,0,2,VMC,APPROACH,2
3829,121.8,62.57,-162.85,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3830,270.8,34.111389,-117.68722199999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,APPROACH,2
3831,345.4,41.921667,-84.587777,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,APPROACH,2
3832,1.1,41.076667,-71.920556,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,1,1,VMC,TAKEOFF,2
3833,340.7,35.124167,-114.530556,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,1,0,1,VMC,TAKEOFF,2
3834,206.3,41.7075,-73.738055,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAXI,2
3835,206.3,41.7075,-73.738055,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAXI,2
3836,13.1,39.943055,-74.84472199999999,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3837,514.6,38.376667,-120.793889,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3838,364.2,43.153056,-93.336111,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,STANDING,2
3839,78.4,36.225834000000006,-90.036666,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,TAKEOFF,2
3840,883.6,37.861667,-120.178611,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3841,9378.2,62.300278000000006,-142.533333,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,OTHER WORK USE,0,0,0,2,VMC,CRUISE,2
3842,337.4,37.874445,-92.406944,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,LANDING,2
3843,11292.9,48.659721999999995,-112.49611100000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,MANEUVERING,2
3844,0.0,59.566111,-139.740833,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3845,1208.0,-22.99,29.563889,NON-FATAL,SUBSTANTIAL,1,UNKNOWN,UNKNOWN,0,2,0,0,VMC,APPROACH,2
3846,189.1,36.038055,-95.986389,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3847,133.6,36.029445,-119.06277800000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,LANDING,2
3848,772.8,62.095555000000004,-148.212222,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3849,12180.699999999999,39.675,-85.322223,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,2,0,VMC,CRUISE,2
3850,896.1,46.165278,-103.300833,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,TAKEOFF,2
3851,12208.599999999999,40.3,-83.0,NON-FATAL,SUBSTANTIAL,4,RECIPROCATING,PERSONAL,0,0,0,2,VMC,CRUISE,2
3852,145.2,41.035833000000004,-75.160556,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3853,32.0,29.123889000000002,-81.8875,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3854,989.0,44.287777,-120.90527800000001,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,LANDING,2
3855,2104.7,38.961667,-104.575278,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,TAKEOFF,2
3856,10920.8,44.758611,-69.37,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PUBLIC AIRCRAFT,0,0,2,0,VMC,CRUISE,2
3857,569.9,62.7975,-152.930834,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,BUSINESS,0,0,0,2,VMC,TAKEOFF,2
3858,696.0,46.103889,-122.8975,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,0,0,2,VMC,DESCENT,2
3859,11101.699999999999,44.990555,-114.748333,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,2,0,0,VMC,MANEUVERING,2
3860,4.2,26.646665999999996,-80.295,NON-FATAL,SUBSTANTIAL,1,RECIPROCATING,PERSONAL,0,1,1,0,VMC,TAKEOFF,2
