,Altitude,Latitude,Longitude,Injury.Severity,Aircraft.Damage,Number.of.Engines,Engine.Type,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Total.Passengers
18,697.8,37.613333000000004,-122.36388899999999,FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,3,50,137,117,VMC,APPROACH,307
19,395.2,33.636666,-84.42805600000001,INCIDENT,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,0,306,VMC,DESCENT,306
20,18.3,38.9,-77.033334,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,301,VMC,STANDING,301
21,18.3,38.9,-77.033334,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,301,VMC,TAXI,301
22,304.8,33.636666,-84.42805600000001,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,298,VMC,TAXI,298
23,304.8,33.636666,-84.42805600000001,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,298,VMC,TAXI,298
24,10970.0,21.318610999999997,-157.9225,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,3,291,VMC,CRUISE,295
25,2.3,25.793332999999997,-80.290555,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,294,VMC,STANDING,294
26,2.3,25.793332999999997,-80.290555,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,294,VMC,TAXI,294
27,367.2,39.16472292,-96.61041184,NON-FATAL,DESTROYED,3,TURBO FAN,UNKNOWN,0,1,9,282,VMC,TAKEOFF,292
28,4.7,42.353333,-71.014444,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,291,VMC,TAXI,291
29,4.7,42.353333,-71.014444,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,291,VMC,STANDING,291
30,10604.8,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,289,VMC,CRUISE,289
31,367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,288,VMC,TAXI,288
32,367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,288,VMC,TAXI,288
33,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,285,VMC,TAKEOFF,285
34,10604.8,39.16472292,-96.61041184,INCIDENT,MINOR,4,UNKNOWN,UNKNOWN,0,0,0,285,VMC,GO-AROUND,285
35,408.8,33.91,-84.083056,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,0,278,VMC,DESCENT,279
36,306.1,33.631945,-84.43305600000001,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,279,VMC,TAXI,279
37,306.1,33.631945,-84.43305600000001,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,279,VMC,STANDING,279
38,2.8,40.639722,-73.778889,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,275,VMC,TAXI,276
39,250.7,44.880556,-93.213611,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,272,VMC,TAXI,272
40,250.7,44.880556,-93.213611,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,272,VMC,TAXI,272
41,87.8,38.9475,-77.45,NON-FATAL,SUBSTANTIAL,2,TURBO PROP,UNKNOWN,0,0,0,270,VMC,STANDING,270
42,87.8,38.9475,-77.45,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,270,VMC,TAXI,270
43,499.0,41.978611,-87.90472199999999,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,263,VMC,APPROACH,264
44,10604.8,39.16472292,-96.61041184,INCIDENT,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,258,VMC,CRUISE,258
45,332.8,39.16472292,-96.61041184,FATAL,DESTROYED,4,TURBO FAN,UNKNOWN,228,26,0,0,IMC,APPROACH,254
46,305.0,33.636666,-84.42833399999999,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,250,VMC,TAXI,251
47,700.0,21.723334,-160.255278,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,6,243,VMC,DESCENT,250
48,144.4,32.845277,-96.8525,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,244,IMC,STANDING,244
49,144.4,32.845277,-96.8525,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,244,IMC,TAXI,244
50,367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,UNKNOWN,UNKNOWN,0,0,0,235,VMC,STANDING,235
51,2.8,40.64,-73.778611,NON-FATAL,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,228,VMC,TAXI,228
52,2.8,40.64,-73.778611,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,228,VMC,TAXI,228
53,1.8,39.872223,-75.240833,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,222,VMC,TAXI,222
54,1.8,39.872223,-75.240833,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,222,VMC,TAXI,222
55,685.4,29.760278000000003,-95.369723,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,220,IMC,DESCENT,221
56,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,220,VMC,LANDING,220
57,10604.8,39.16472292,-96.61041184,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,216,VMC,CRUISE,217
58,332.8,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,14,203,VMC,CLIMB,217
59,697.2,40.639722,-73.778889,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,0,215,IMC,CLIMB,216
60,201.0,41.978611,-87.90472199999999,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,216,IMC,STANDING,216
61,201.0,41.978611,-87.90472199999999,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,216,IMC,TAXI,216
62,2.2,40.698611,-74.17,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,214,VMC,TAKEOFF,214
63,367.2,39.16472292,-96.61041184,FATAL,DESTROYED,3,TURBO FAN,UNKNOWN,2,4,24,182,IMC,LANDING,212
64,4.9,32.733610999999996,-117.189722,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,208,VMC,TAXI,208
65,4.9,32.733610999999996,-117.189722,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,208,VMC,TAXI,208
66,2.4,40.7,-74.172223,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,205,VMC,TAXI,205
67,2.4,40.7,-74.172223,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,205,VMC,TAXI,205
68,634.8,41.931667,-72.733056,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,197,VMC,DESCENT,199
69,332.8,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,1,0,193,VMC,APPROACH,194
70,367.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,194,VMC,LANDING,194
71,8.399999999999977,46.811389,-120.951944,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,188,VMC,DESCENT,190
72,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO PROP,UNKNOWN,0,0,0,190,IMC,TAKEOFF,190
73,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,190,IMC,TAKEOFF,190
74,4.5,32.735,-117.189722,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,186,VMC,STANDING,187
75,10785.6,35.4,-80.666667,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,0,186,VMC,CRUISE,187
76,56.89999999999998,36.08,-115.152222,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,185,VMC,APPROACH,186
77,697.1,39.874445,-75.24194399999999,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,184,VMC,DESCENT,186
78,637.7,38.705556,-76.744444,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,185,IMC,DESCENT,186
79,367.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,185,IMC,LANDING,185
80,643.6,36.083889,-115.15361100000001,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,184,VMC,TAKEOFF,184
81,0.0,-14.331389000000001,-170.711389,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,2,181,VMC,TAKEOFF,184
82,302.2,33.763333,-84.401667,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,182,VMC,TAKEOFF,182
83,643.1,36.08,-115.152222,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,180,VMC,LANDING,180
84,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,1,11,168,VMC,LANDING,180
85,46.1,39.179167,-76.66722299999999,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,TAXI,179
86,144.0,32.841666,-96.85,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,STANDING,179
87,144.0,32.841666,-96.85,NON-FATAL,MINOR,2,TURBO FAN,FLIGHT TEST,0,0,0,179,VMC,TAXI,179
88,10972.0,19.736944,-68.554167,INCIDENT,DESTROYED,2,TURBO JET,UNKNOWN,0,0,33,146,VMC,CRUISE,179
89,1.5,40.777223,-73.8725,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,TAXI,179
90,1.5,40.777223,-73.8725,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,179,VMC,TAXI,179
91,304.8,33.639165999999996,-84.42805600000001,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,3,175,VMC,TAKEOFF,178
92,1635.9,39.86,-104.67,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,173,IMC,DESCENT,174
93,3.2,25.765832999999997,-80.218889,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,172,VMC,LANDING,172
94,202.7,41.968889000000004,-87.917778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,20,149,VMC,TAKEOFF,170
95,640.2,36.083056,-115.151389,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,19,150,VMC,TAKEOFF,170
96,643.1,36.08,-115.152222,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,170,VMC,TAKEOFF,170
97,2.8,40.64,-73.78,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,168,VMC,STANDING,168
98,10604.8,39.16472292,-96.61041184,NON-FATAL,MINOR,3,TURBO FAN,UNKNOWN,0,7,19,142,VMC,CRUISE,168
99,697.5,25.766667,-80.291666,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,165,VMC,DESCENT,166
