type	latitude	longitude	altitude (m)	name
T	60.942000000	-151.961000000	17.0	
T	34.423000000	-119.837000000	3.3	
T	34.730000000	-112.035000000	1079.4	
T	40.405000000	-86.243000000	264.9	
T	35.534000000	-97.647000000	390.1	
T	40.719000000	-114.031000000	1287.4	
T	31.404000000	-97.214000000	197.7	
T	33.734000000	-117.021000000	460.6	
T	61.493000000	-151.906000000	302.7	
T	37.689000000	-121.819000000	118.9	
T	27.979000000	-82.528000000	6.0	
T	47.209000000	-93.510000000	399.3	
T	42.625000000	-83.973000000	284.6	
T	47.619000000	-117.535000000	719.6	
T	36.179000000	-106.961000000	2266.1	
T	37.860000000	-76.885000000	34.3	
T	64.280000000	-148.110000000	245.8	
T	39.691000000	-75.638000000	1.2	
T	29.817000000	-89.276000000	0.0	
T	41.700000000	-73.729000000	211.2	
T	44.708000000	-100.062000000	571.9	
T	30.026000000	-90.030000000	1.7	
T	36.367000000	-82.182000000	469.4	
T	26.381000000	-98.817000000	56.6	
T	37.894000000	-121.239000000	8.1	
T	36.274000000	-81.578000000	1006.5	
T	30.970000000	-87.206000000	12.5	
T	35.098000000	-97.969000000	347.2	
T	61.179000000	-149.958000000	22.4	
T	39.930000000	-84.023000000	267.4	
T	41.378000000	-79.861000000	467.7	
T	47.049000000	-91.745000000	323.6	
T	41.786000000	-87.752000000	185.0	
T	35.292000000	-98.970000000	472.6	
T	25.998000000	-80.238000000	2.0	
T	40.172000000	-75.080000000	68.8	
T	42.848000000	-92.117000000	331.5	
T	38.290000000	-104.498000000	1426.8	
T	48.436000000	-105.761000000	867.9	
T	25.648000000	-80.433000000	1.5	
T	37.724000000	-122.212000000	2.3	
T	38.311000000	-75.124000000	1.2	
T	38.815000000	-78.771000000	383.2	
T	40.938000000	-97.502000000	498.6	
T	61.037000000	-149.045000000	1667.7	
T	38.141000000	-122.556000000	0.1	
T	38.721000000	-77.515000000	52.7	
T	60.589000000	-152.158000000	8.0	
T	46.701000000	-92.504000000	389.1	
T	38.944000000	-104.570000000	2076.1	
T	38.724000000	-120.753000000	783.5	
T	35.032000000	-85.205000000	206.6	
T	30.515000000	-87.872000000	34.0	
T	40.448000000	-109.507000000	1600.3	
T	43.955000000	-88.664000000	269.4	
T	63.329000000	-142.952000000	501.0	
T	36.059000000	-85.528000000	314.8	
T	29.251000000	-107.404000000	1837.1	
T	41.783000000	-87.745000000	185.3	
T	31.807000000	-106.376000000	1201.1	
T	43.772000000	-84.946000000	278.2	
T	47.559000000	-121.864000000	39.2	
T	36.981000000	-77.003000000	32.0	
T	43.557000000	-90.889000000	386.4	
T	40.167000000	-97.715000000	489.1	
T	32.136000000	-84.194000000	141.0	
T	42.850000000	-103.085000000	988.1	
T	43.991000000	-88.560000000	237.6	
T	62.478000000	-153.520000000	346.7	
T	33.999000000	-96.642000000	216.6	
T	43.561000000	-116.218000000	868.7	
T	48.052000000	-122.801000000	32.5	
T	43.484000000	-84.484000000	210.2	
T	36.228000000	-121.121000000	114.1	
T	61.688000000	-151.401000000	220.0	
T	36.832000000	-114.057000000	582.6	
T	45.619000000	-121.168000000	69.5	
T	45.354000000	-117.633000000	1092.4	
T	33.688000000	-112.082000000	445.7	
T	39.579000000	-104.851000000	1771.0	
T	28.777000000	-81.235000000	13.5	
T	41.627000000	-73.884000000	47.2	
T	35.947000000	-112.153000000	1995.0	
T	44.968000000	-114.733000000	1116.0	
T	38.339000000	-75.062000000	0.0	
T	45.518000000	-102.468000000	846.0	
T	44.537000000	-115.351000000	1758.1	
T	29.901000000	-81.312000000	1.1	
T	29.693000000	-81.507000000	3.4	
T	41.294000000	-86.622000000	217.2	
T	45.310000000	-92.690000000	271.6	
T	39.905000000	-105.114000000	1708.7	
T	35.599000000	-92.457000000	152.8	
T	28.546000000	-81.332000000	32.6	
T	46.251000000	-114.126000000	1104.2	
T	38.401000000	-93.332000000	287.2	
T	62.319000000	-150.113000000	105.4	
T	42.135000000	-87.892000000	198.1	
T	55.299000000	-131.632000000	54.5	
T	29.658000000	-81.689000000	9.7	
T	15.124000000	145.731000000	62.1	
T	41.393000000	-70.614000000	18.1	
T	37.187000000	-77.503000000	57.9	
T	41.319000000	-81.961000000	246.4	
T	61.617000000	-149.322000000	136.9	
T	41.101000000	-102.985000000	1307.5	
T	27.267000000	-80.850000000	9.1	
T	33.641000000	-95.454000000	163.6	
T	59.444000000	-151.705000000	13.6	
T	43.548000000	-83.895000000	177.6	
T	34.388000000	-89.531000000	116.4	
T	62.630000000	-149.830000000	922.0	
T	25.005000000	-80.532000000	1.4	
T	19.911000000	-155.812000000	239.7	
T	44.439000000	-69.267000000	137.2	
T	44.209000000	-114.934000000	1948.1	
T	35.857000000	-83.524000000	300.7	
T	35.334000000	-94.266000000	120.0	
T	35.919000000	-75.696000000	3.4	
T	46.567000000	-120.537000000	322.1	
T	32.966000000	-96.833000000	195.7	
T	41.330000000	-82.108000000	229.8	
T	34.939000000	-82.227000000	309.7	
T	30.388000000	-96.088000000	65.7	
T	31.183000000	-81.261000000	0.0	
T	42.564000000	-75.524000000	305.2	
T	34.813000000	-82.700000000	303.8	
T	28.138000000	-82.147000000	23.7	
T	40.858000000	-80.195000000	372.3	
T	61.482000000	-149.744000000	72.9	
T	33.688000000	-112.082000000	445.7	
T	28.000000000	-81.000000000	14.7	
T	41.196000000	-96.112000000	317.2	
T	39.888000000	-95.517000000	340.5	
T	38.203000000	-94.738000000	303.8	
T	34.955000000	-78.918000000	34.8	
T	40.850000000	-77.848000000	371.7	
T	40.875000000	-74.281000000	52.2	
T	32.841000000	-93.835000000	58.7	
T	30.638000000	-86.994000000	24.7	
T	29.471000000	-103.936000000	1290.6	
T	40.438000000	-104.633000000	1420.0	
