type	latitude	longitude	altitude (m)	name
T	42.664000000	-85.345000000	243.7	
T	37.330000000	-79.200000000	292.0	
T	35.071000000	-107.035000000	1716.7	
T	44.196000000	-73.349000000	41.2	
T	41.516000000	-75.252000000	409.1	
T	33.978000000	-83.962000000	311.0	
T	45.628000000	-122.404000000	127.7	
T	32.059000000	-82.154000000	54.7	
T	40.799000000	-72.612000000	0.0	
T	40.111000000	-104.701000000	1513.1	
T	34.079000000	-84.861000000	272.5	
T	28.304000000	-97.331000000	15.8	
T	32.969000000	-97.879000000	363.7	
T	28.706000000	-96.804000000	15.1	
T	61.252000000	-149.964000000	28.4	
T	36.681000000	-121.763000000	37.6	
T	33.386000000	-84.322000000	262.1	
T	39.237000000	-121.111000000	696.2	
T	30.055000000	-92.246000000	5.1	
T	37.936000000	-91.814000000	296.9	
T	40.533000000	-80.541000000	372.9	
T	30.039000000	-90.026000000	1.0	
T	42.367000000	-122.869000000	403.9	
T	36.638000000	-80.707000000	835.9	
T	30.336000000	-94.939000000	41.0	
T	37.894000000	-121.238000000	8.3	
T	29.539000000	-98.480000000	243.8	
T	39.069000000	-95.622000000	267.7	
T	32.132000000	-88.793000000	71.1	
T	35.417000000	-80.151000000	174.4	
T	33.980000000	-83.661000000	277.3	
T	29.823000000	-102.691000000	832.9	
T	35.966000000	-95.342000000	178.9	
T	27.412000000	-82.154000000	17.7	
T	43.507000000	-114.299000000	1617.6	
T	35.986000000	-85.809000000	329.9	
T	27.989000000	-82.019000000	40.0	
T	40.185000000	-74.122000000	42.6	
T	34.093000000	-117.792000000	293.5	
T	43.075000000	-116.771000000	2028.7	
T	34.210000000	-118.490000000	237.3	
T	40.034000000	-79.024000000	682.9	
T	32.897000000	-96.834000000	175.5	
T	64.611000000	-144.617000000	1187.4	
T	37.184000000	-78.102000000	127.5	
T	27.459000000	-81.343000000	17.9	
T	27.459000000	-81.343000000	17.9	
T	34.839000000	-82.349000000	287.4	
T	42.171000000	-112.289000000	1368.4	
T	61.235000000	-149.943000000	0.0	
T	40.483000000	-111.426000000	1712.6	
T	44.417000000	-83.486000000	203.6	
T	59.190000000	-155.150000000	250.0	
T	33.311000000	-79.320000000	5.8	
T	43.239000000	-123.356000000	156.2	
T	62.570000000	-162.850000000	121.8	
T	59.325000000	-155.901000000	26.6	
T	38.190000000	-90.384000000	121.6	
T	39.418000000	-77.374000000	88.4	
T	29.644000000	-95.656000000	25.5	
T	37.230000000	-106.967000000	2259.0	
T	40.972000000	-98.315000000	561.5	
T	34.111000000	-117.687000000	428.2	
T	41.922000000	-84.588000000	354.7	
T	41.077000000	-71.921000000	1.2	
T	35.124000000	-114.531000000	340.8	
T	34.514000000	-109.370000000	1735.4	
T	45.450000000	-120.864000000	123.7	
T	41.708000000	-73.738000000	202.2	
T	41.708000000	-73.738000000	202.2	
T	39.943000000	-74.845000000	13.0	
T	42.454000000	-71.183000000	62.5	
T	39.714000000	-119.866000000	1592.9	
T	39.714000000	-119.866000000	1592.9	
T	35.238000000	-120.641000000	58.9	
T	60.941000000	-151.961000000	16.8	
T	40.145000000	-111.667000000	1378.8	
T	36.348000000	-94.219000000	394.1	
T	25.862000000	-80.897000000	2.6	
T	36.926000000	-111.448000000	1298.3	
T	29.130000000	-98.750000000	206.5	
T	39.909000000	-105.117000000	1714.0	
T	33.975000000	-117.636000000	191.4	
T	26.609000000	-80.083000000	3.0	
T	34.856000000	-102.326000000	1153.0	
T	38.377000000	-120.794000000	513.7	
T	43.153000000	-93.336000000	364.2	
T	29.742000000	-81.474000000	5.5	
T	36.226000000	-90.037000000	79.0	
T	44.368000000	-88.159000000	199.7	
T	33.051000000	-97.232000000	188.7	
T	35.791000000	-115.319000000	881.2	
T	37.862000000	-120.179000000	883.1	
T	62.300000000	-142.533000000	1586.0	
T	37.539000000	-77.326000000	49.2	
T	42.904000000	-82.550000000	192.9	
T	37.874000000	-92.407000000	339.0	
T	62.453000000	-148.687000000	1024.8	
T	48.660000000	-112.496000000	1203.8	
T	34.257000000	-118.409000000	294.8	
T	37.088000000	-84.076000000	362.6	
T	34.201000000	-118.359000000	221.7	
T	59.566000000	-139.741000000	0.0	
T	31.855000000	-102.074000000	852.6	
T	38.515000000	-89.091000000	158.7	
T	40.636000000	-79.111000000	430.7	
T	29.935000000	-95.640000000	41.2	
T	38.526000000	-77.860000000	91.6	
T	36.038000000	-95.986000000	189.1	
T	57.997000000	-154.996000000	0.0	
T	43.834000000	-111.805000000	1481.0	
T	39.787000000	-77.369000000	183.3	
T	35.550000000	-87.207000000	198.1	
T	44.666000000	-83.307000000	209.4	
T	40.618000000	-96.926000000	454.2	
T	36.029000000	-119.063000000	133.4	
T	62.096000000	-148.212000000	774.5	
T	31.881000000	-106.703000000	1253.0	
T	39.756000000	-82.657000000	259.1	
T	39.931000000	-84.026000000	266.4	
T	45.902000000	-84.707000000	177.0	
T	35.137000000	-118.444000000	1208.4	
T	42.597000000	-87.929000000	220.7	
T	34.670000000	-112.406000000	1496.7	
T	40.578000000	-122.410000000	211.8	
T	30.541000000	-92.204000000	17.6	
T	37.979000000	-98.105000000	496.2	
T	41.738000000	-72.649000000	4.8	
T	38.837000000	-92.000000000	267.1	
T	39.144000000	-78.144000000	217.5	
T	42.022000000	-70.837000000	18.7	
T	39.675000000	-85.322000000	316.4	
T	37.501000000	-77.126000000	30.8	
T	46.165000000	-103.301000000	896.4	
T	40.300000000	-83.000000000	288.2	
T	41.036000000	-75.161000000	145.2	
T	29.124000000	-81.888000000	31.7	
T	36.626000000	-93.229000000	285.1	
T	44.288000000	-120.905000000	988.6	
T	44.790000000	-71.826000000	360.5	
T	32.609000000	-82.370000000	97.5	
T	43.884000000	-72.252000000	210.5	
T	30.593000000	-84.549000000	47.3	
T	42.022000000	-70.835000000	18.1	
T	39.567000000	-76.202000000	120.3	
T	38.962000000	-104.575000000	2104.3	
T	44.759000000	-69.370000000	51.2	
T	39.576000000	-95.181000000	304.8	
T	32.439000000	-93.814000000	63.7	
T	47.994000000	-97.072000000	252.0	
T	21.578000000	-158.182000000	1.0	
T	44.472000000	-73.153000000	100.7	
T	62.798000000	-152.931000000	565.8	
T	44.533000000	-116.061000000	1514.3	
T	29.672000000	-95.070000000	7.2	
T	32.444000000	-97.817000000	235.1	
T	46.104000000	-122.898000000	4.0	
T	44.991000000	-114.748000000	1372.1	
T	61.790000000	-156.588000000	76.0	
T	39.615000000	-77.048000000	217.0	
T	41.843000000	-85.119000000	291.1	
T	61.533000000	-150.102000000	68.5	
T	40.494000000	-101.043000000	928.0	
T	26.647000000	-80.295000000	4.2	
T	38.973000000	-104.820000000	1992.2	
T	33.148000000	-97.490000000	268.4	
T	60.589000000	-152.162000000	8.5	
T	32.632000000	-108.154000000	1638.9	
T	27.182000000	-80.221000000	4.2	
T	43.951000000	-95.378000000	441.5	
T	43.415000000	-116.698000000	684.6	
T	44.356000000	-88.060000000	236.4	
T	44.016000000	-97.086000000	521.3	
T	42.770000000	-111.310000000	2295.7	
T	29.505000000	-95.175000000	7.1	
T	34.296000000	-118.469000000	349.4	
T	63.700000000	-147.126000000	1225.2	
T	68.294000000	-156.379000000	513.2	
T	42.492000000	-88.984000000	241.5	
T	37.035000000	-113.506000000	872.4	
T	44.813000000	-117.794000000	1031.8	
T	47.485000000	-111.360000000	1117.5	
T	39.505000000	-84.122000000	281.6	
T	61.761000000	-147.081000000	727.0	
T	36.742000000	-104.502000000	1932.9	
T	28.342000000	-80.687000000	1.4	
T	40.429000000	-104.632000000	1416.4	
T	28.867000000	-82.575000000	2.2	
T	38.704000000	-93.228000000	278.4	
T	36.879000000	-91.905000000	372.1	
T	33.696000000	-117.884000000	10.4	
T	38.198000000	-102.775000000	1183.3	
T	42.272000000	-77.685000000	623.7	
T	35.438000000	-94.803000000	156.5	
T	39.943000000	-74.846000000	12.8	
T	41.993000000	-86.128000000	224.9	
T	30.374000000	-87.726000000	17.9	
T	41.290000000	-86.631000000	216.1	
T	34.848000000	-82.350000000	309.2	
T	32.897000000	-97.038000000	176.2	
T	48.491000000	-122.942000000	35.1	
T	46.814000000	-94.409000000	398.8	
T	45.132000000	-115.321000000	1736.3	
T	65.607000000	-146.779000000	1202.9	
T	34.226000000	-77.945000000	12.9	
T	29.250000000	-107.409000000	1839.8	
T	33.033000000	-90.623000000	32.0	
T	40.706000000	-76.374000000	520.2	
T	45.000000000	-69.000000000	92.5	
T	46.382000000	-94.119000000	369.5	
T	41.275000000	-111.035000000	2169.3	
T	32.699000000	-97.047000000	178.3	
T	45.482000000	-85.781000000	193.7	
T	45.482000000	-85.781000000	193.7	
T	40.329000000	-82.526000000	361.7	
T	32.826000000	-116.972000000	113.4	
T	35.095000000	-106.163000000	1994.3	
T	41.027000000	-81.799000000	369.1	
T	45.882000000	-95.450000000	427.3	
T	33.221000000	-92.812000000	77.1	
T	41.667000000	-81.197000000	302.6	
T	30.056000000	-95.552000000	44.1	
T	38.653000000	-122.899000000	76.3	
T	36.773000000	-77.794000000	98.2	
T	30.224000000	-93.000000000	6.9	
T	35.160000000	-80.721000000	208.7	
T	30.779000000	-86.522000000	50.4	
T	29.656000000	-81.689000000	10.6	
T	28.777000000	-81.235000000	13.5	
T	33.939000000	-81.119000000	66.6	
T	61.630000000	-149.682000000	113.7	
T	35.485000000	-81.166000000	267.4	
T	36.199000000	-95.884000000	197.8	
T	28.985000000	-95.539000000	6.3	
T	47.482000000	-111.357000000	1119.6	
T	38.941000000	-104.569000000	2073.8	
T	43.302000000	-95.062000000	439.7	
T	30.737000000	-98.239000000	384.3	
T	47.907000000	-122.282000000	180.3	
T	45.672000000	-121.531000000	182.3	
T	43.761000000	-87.835000000	224.9	
T	36.601000000	-89.992000000	89.6	
T	30.546000000	-91.165000000	20.4	
T	42.701000000	-74.074000000	290.4	
T	45.777000000	-111.150000000	1357.6	
T	42.928000000	-89.418000000	299.6	
T	32.540000000	-93.745000000	52.4	
T	34.714000000	-85.681000000	461.9	
T	39.302000000	-120.125000000	1781.3	
T	42.114000000	-87.902000000	195.5	
T	34.210000000	-118.490000000	237.3	
T	36.124000000	-86.678000000	173.8	
T	46.528000000	-100.567000000	490.5	
T	26.002000000	-80.240000000	2.1	
T	64.989000000	-150.647000000	80.3	
T	61.595000000	-149.089000000	70.8	
T	48.472000000	-122.418000000	34.9	
T	33.564000000	-92.081000000	68.5	
T	39.589000000	-84.225000000	287.8	
T	18.455000000	-66.663000000	3.0	
T	47.941000000	-117.626000000	694.5	
T	39.079000000	-84.210000000	253.0	
T	42.799000000	-77.842000000	169.8	
T	40.242000000	-87.567000000	208.9	
T	35.318000000	-110.660000000	1549.8	
T	44.029000000	-117.018000000	657.9	
T	40.698000000	-84.636000000	243.4	
T	40.196000000	-89.304000000	183.9	
T	36.349000000	-92.556000000	142.1	
T	34.947000000	-91.114000000	60.2	
T	30.061000000	-95.553000000	45.7	
T	40.110000000	-88.683000000	214.9	
T	33.812000000	-78.724000000	9.3	
T	32.684000000	-96.873000000	195.2	
T	26.197000000	-80.171000000	3.7	
T	48.608000000	-112.376000000	1174.2	
T	35.237000000	-120.642000000	57.5	
T	44.326000000	-84.788000000	358.6	
T	32.029000000	-96.397000000	134.4	
T	61.567000000	-148.550000000	1249.2	
T	45.514000000	-115.443000000	1723.7	
T	43.170000000	-88.470000000	265.7	
T	37.720000000	-76.841000000	42.0	
T	37.108000000	-79.592000000	267.9	
T	41.944000000	-88.924000000	268.3	
T	37.515000000	-122.250000000	1.1	
T	36.032000000	-78.318000000	76.8	
T	32.958000000	-84.268000000	232.9	
T	42.543000000	-83.179000000	216.3	
T	35.608000000	-76.778000000	3.6	
T	45.863000000	-84.644000000	219.1	
T	31.817000000	-97.569000000	235.1	
T	25.778000000	-80.170000000	0.0	
T	30.499000000	-97.969000000	370.4	
T	38.668000000	-121.401000000	20.6	
T	32.609000000	-82.370000000	97.5	
T	30.352000000	-85.841000000	17.8	
T	44.854000000	-74.329000000	234.8	
T	34.745000000	-85.690000000	452.1	
T	38.836000000	-95.182000000	269.9	
T	42.291000000	-73.710000000	56.7	
T	43.166000000	-95.203000000	407.4	
T	38.311000000	-75.130000000	2.5	
T	41.562000000	-101.600000000	1092.3	
T	61.187000000	-149.966000000	21.7	
T	40.218000000	-111.931000000	1974.3	
T	61.500000000	-150.568000000	12.6	
T	36.246000000	-90.955000000	82.8	1k
T	38.128000000	-91.769000000	342.5	
T	47.866000000	-119.943000000	383.1	
T	42.120000000	-121.694000000	1245.6	
T	35.919000000	-75.696000000	3.4	
T	45.875000000	-99.636000000	565.7	
T	33.784000000	-112.138000000	496.0	
T	61.538000000	-148.938000000	17.0	
T	35.784000000	-80.299000000	212.6	
T	42.407000000	-83.025000000	190.4	
T	40.939000000	-90.623000000	210.0	
T	63.859000000	-146.493000000	774.4	
T	30.276000000	-81.786000000	26.2	
T	33.425000000	-112.373000000	291.6	
T	30.369000000	-89.391000000	2.3	
T	64.193000000	-147.946000000	486.3	
T	45.150000000	-115.071000000	1337.4	
T	30.784000000	-98.661000000	331.3	
T	61.179000000	-149.964000000	22.0	
T	47.337000000	-122.104000000	141.1	
T	44.513000000	-94.300000000	303.2	
T	37.822000000	-76.969000000	48.5	
T	59.509000000	-139.664000000	10.9	
T	36.472000000	-97.940000000	407.6	
T	48.909000000	-122.565000000	17.8	
T	33.939000000	-81.119000000	66.6	
T	34.316000000	-81.109000000	173.6	
T	38.221000000	-86.873000000	150.3	
T	39.471000000	-98.129000000	429.6	
T	27.456000000	-81.342000000	17.7	
T	27.656000000	-80.418000000	5.7	
T	32.219000000	-98.510000000	408.7	
T	41.746000000	-72.628000000	9.0	
T	48.708000000	-122.911000000	5.9	
T	40.144000000	-111.666000000	1379.7	
T	64.477000000	-146.774000000	210.6	
T	37.503000000	-77.127000000	35.9	
T	42.403000000	-88.375000000	265.4	
T	39.189000000	-83.539000000	289.3	
T	42.422000000	-87.868000000	215.5	
T	61.536000000	-149.814000000	49.9	
T	32.828000000	-107.299000000	1263.5	
T	32.912000000	-100.541000000	556.5	
T	38.555000000	-121.297000000	25.9	
T	61.617000000	-149.322000000	136.9	
T	38.644000000	-88.965000000	173.0	
T	33.721000000	-96.673000000	223.8	
T	28.924000000	-81.651000000	31.9	
T	33.626000000	-82.496000000	100.4	
T	41.154000000	-104.785000000	1843.3	
T	36.430000000	-93.696000000	476.4	
T	33.036000000	-96.243000000	164.1	
T	40.026000000	-74.756000000	11.2	
T	33.690000000	-112.079000000	447.6	
T	28.000000000	-82.163000000	45.6	
T	27.197000000	-81.839000000	18.2	
T	42.030000000	-91.532000000	262.6	
T	31.999000000	-110.358000000	1165.0	
T	47.505000000	-122.219000000	5.1	
T	18.270000000	-66.400000000	627.6	
T	42.628000000	-89.598000000	305.2	
T	41.372000000	-73.482000000	137.7	
T	32.086000000	-97.101000000	204.1	
T	29.239000000	-81.079000000	7.9	
T	57.172000000	-135.277000000	6.6	
T	30.461000000	-87.877000000	20.0	
T	30.533000000	-91.150000000	20.6	
T	34.982000000	-105.991000000	1881.5	
T	48.164000000	-122.163000000	40.6	
T	38.708000000	-93.176000000	268.4	
T	29.454000000	-99.694000000	359.7	
T	64.650000000	-147.610000000	148.1	
T	32.838000000	-93.838000000	58.7	
T	36.174000000	-94.122000000	412.6	
T	63.467000000	-148.367000000	1039.2	
T	62.430000000	-150.240000000	130.9	
T	34.939000000	-118.127000000	771.2	
T	37.011000000	-112.531000000	1475.9	
T	38.792000000	-84.775000000	247.9	
T	35.506000000	-103.170000000	1225.5	
T	35.619000000	-78.699000000	72.1	
T	40.572000000	-72.075000000	0.0	
T	61.493000000	-149.703000000	80.9	
T	36.631000000	-80.018000000	278.4	
T	65.000000000	-159.417000000	554.5	
T	32.518000000	-94.690000000	118.6	
T	33.039000000	-116.911000000	424.4	
T	35.243000000	-90.571000000	64.2	
T	31.000000000	-102.000000000	690.0	
T	38.078000000	-117.042000000	1655.6	
T	40.768000000	-73.390000000	31.1	
T	34.258000000	-111.336000000	1566.1	
T	56.964000000	-133.916000000	44.0	
T	35.612000000	-97.873000000	373.7	
T	46.373000000	-117.021000000	442.0	
T	28.291000000	-81.437000000	24.1	
T	34.341000000	-112.294000000	1372.9	
T	33.876000000	-84.302000000	301.4	
T	33.898000000	-117.601000000	160.9	
T	42.219000000	-92.026000000	253.1	
T	37.652000000	-97.384000000	393.9	
T	42.978000000	-112.792000000	1340.7	
T	46.309000000	-116.964000000	635.0	
T	38.729000000	-84.395000000	268.6	
T	35.185000000	-80.607000000	213.4	
T	60.490000000	-151.235000000	17.4	
T	42.154000000	-88.511000000	270.2	
T	20.801000000	-95.873000000		
T	36.557000000	-90.205000000	94.3	
T	41.195000000	-96.114000000	318.8	
T	45.550000000	-122.957000000	60.1	
T	39.611000000	-77.010000000	240.0	
T	39.078000000	-84.211000000	254.0	
T	32.455000000	-91.826000000	24.5	
T	29.085000000	-81.042000000	6.4	
T	36.658000000	-76.337000000	3.9	
T	14.062000000	87.217000000		
T	33.872000000	-87.260000000	149.6	
T	33.872000000	-87.260000000	149.6	
T	47.511000000	-94.935000000	422.9	
T	40.732000000	-73.414000000	21.9	
T	32.967000000	-82.838000000	130.3	
T	34.153000000	-83.368000000	263.9	
T	42.344000000	-71.512000000	84.2	
T	30.731000000	-86.154000000	86.0	
T	47.459000000	-122.477000000	97.8	
T	30.739000000	-98.239000000	385.4	
T	40.049000000	-120.981000000	906.1	
T	33.969000000	-112.799000000	720.5	
T	31.084000000	-97.687000000	255.7	
T	35.145000000	-106.795000000	1770.9	
T	44.827000000	-93.461000000	273.4	
T	41.587000000	-95.337000000	364.9	
T	39.364000000	-84.522000000	185.6	
T	34.705000000	-77.051000000	8.6	
T	48.883000000	-122.284000000	75.6	
T	33.009000000	-85.070000000	207.8	
T	40.802000000	-80.161000000	272.5	
T	28.342000000	-80.689000000	1.3	
T	35.136000000	-92.715000000	97.3	
T	33.269000000	-111.811000000	377.0	
T	33.269000000	-111.811000000	377.0	
T	40.876000000	-81.766000000	313.7	
T	39.516000000	-104.834000000	1843.4	
T	33.134000000	-116.578000000	1363.9	
T	33.969000000	-112.799000000	720.5	
T	33.461000000	-111.728000000	420.1	
T	39.223000000	-121.005000000	945.5	
T	39.080000000	-84.209000000	250.8	
T	41.454000000	-87.007000000	231.4	
T	61.395000000	-149.842000000	27.3	
T	35.596000000	-106.902000000	1744.0	
T	26.157000000	-81.771000000	2.3	
T	27.656000000	-80.418000000	5.7	
T	39.909000000	-105.117000000	1714.0	
T	34.274000000	-83.831000000	385.9	
T	36.622000000	-87.415000000	166.1	
T	38.586000000	-77.711000000	98.2	
T	41.431000000	-84.981000000	274.6	
T	43.350000000	-76.388000000	139.6	
T	43.352000000	-76.386000000	140.4	
T	33.272000000	-111.813000000	375.9	
T	41.928000000	-88.708000000	274.6	
T	41.426000000	-74.404000000	139.9	
T	35.570000000	-90.636000000	65.7	
T	44.304000000	-121.539000000	959.2	
T	33.528000000	-112.294000000	320.6	
T	41.121000000	-74.351000000	249.5	
T	31.758000000	-104.776000000	1515.2	
T	34.830000000	-92.256000000	164.5	
T	39.265000000	-122.119000000	17.6	
T	37.461000000	-122.115000000	1.3	
T	36.930000000	-111.450000000	1296.5	
T	29.689000000	-82.273000000	39.3	
T	37.904000000	-111.418000000	2014.5	
T	47.453000000	-99.154000000	488.8	
T	38.378000000	-121.961000000	33.6	
T	47.683000000	-117.324000000	593.2	
T	48.650000000	-122.584000000	1.7	
T	29.445000000	-96.399000000	48.3	
T	37.373000000	-118.364000000	1254.6	
T	45.516000000	-123.014000000	56.9	
T	42.356000000	-72.130000000	179.1	
T	27.504000000	-97.812000000	14.0	
T	33.970000000	-112.795000000	710.7	
T	38.551000000	-97.427000000	411.9	
T	41.012000000	-74.736000000	178.1	
T	34.214000000	-119.094000000	20.4	
T	43.049000000	-73.859000000	129.6	
T	33.796000000	-81.246000000	137.6	
T	44.506000000	-89.025000000	265.2	
T	37.336000000	-121.820000000	39.2	
T	29.739000000	-98.451000000	325.9	
T	48.541000000	-111.871000000	1045.0	
T	40.423000000	-78.212000000	313.5	
T	46.205000000	-115.582000000	1178.8	
T	37.708000000	-77.436000000	61.9	
T	36.683000000	-76.600000000	19.1	
T	29.570000000	-98.468000000	258.1	
T	30.398000000	-87.349000000	8.2	
T	38.098000000	-78.722000000	449.4	
T	38.806000000	104.701000000	1351.6	
T	38.802000000	-76.069000000	14.1	
T	60.540000000	-150.870000000	99.0	
T	29.702000000	-98.027000000	191.9	
T	32.572000000	-116.981000000	157.7	
T	33.636000000	-111.898000000	466.7	
T	61.569000000	-149.851000000	62.3	
T	32.139000000	-111.173000000	734.6	
T	38.269000000	-122.576000000	93.0	
T	34.225000000	-99.283000000	382.9	
T	37.692000000	-121.819000000	117.6	
T	45.779000000	-111.156000000	1356.4	
T	45.779000000	-111.156000000	1356.4	
T	29.159000000	-81.085000000	7.4	
T	40.491000000	85.680000000	897.0	
T	40.491000000	85.680000000	897.0	
T	59.442000000	-151.704000000	8.8	
T	33.689000000	-112.082000000	445.9	
T	34.650000000	-112.428000000	1530.6	
T	36.608000000	-94.728000000	251.0	
T	39.735000000	-111.870000000	1526.5	
T	41.890000000	-121.976000000	1293.4	
T	36.663000000	-121.608000000	22.2	
T	32.959000000	-112.679000000	234.8	
T	43.583000000	-116.523000000	773.3	
T	41.677000000	-70.959000000	20.9	
T	33.896000000	-86.161000000	156.3	
T	37.848000000	-121.516000000	-1.5	
T	33.872000000	-117.980000000	27.7	
T	36.676000000	-121.757000000	41.5	
T	61.216000000	-149.842000000	40.7	
T	34.407000000	-86.933000000	183.3	
T	40.772000000	-80.387000000	379.1	
T	32.623000000	-90.103000000	78.0	
T	39.123000000	-94.593000000	226.8	
T	41.326000000	-86.662000000	208.1	
T	35.794000000	-96.030000000	228.3	
T	43.974000000	-102.904000000	885.8	
T	39.220000000	-121.411000000	45.3	
T	44.022000000	-117.015000000	667.0	
T	34.225000000	-99.283000000	382.9	
T	44.381000000	-73.228000000	46.8	
T	29.658000000	-81.684000000	9.2	
T	29.658000000	-81.684000000	9.2	
T	24.556000000	-81.759000000	0.6	
T	26.918000000	-81.997000000	6.5	
T	28.290000000	-81.437000000	24.1	
T	36.666000000	-76.321000000	4.4	
T	47.905000000	-122.103000000	4.6	
T	44.013000000	-97.087000000	522.0	
T	31.909000000	-111.121000000	1200.1	
T	42.195000000	-89.097000000	221.0	
T	45.830000000	-122.638000000	8.0	
T	42.470000000	-71.290000000	37.8	
T	41.886000000	-91.707000000	262.7	
T	45.538000000	-122.947000000	61.4	
T	43.622000000	-84.737000000	229.4	
T	32.959000000	-96.832000000	192.8	
T	43.984000000	-88.557000000	239.4	
T	48.499000000	-122.662000000	74.7	
T	48.471000000	-122.422000000	35.0	
T	31.547000000	-93.491000000	95.3	
T	32.037000000	-102.102000000	853.3	
T	27.561000000	-99.458000000	151.7	
T	34.487000000	-91.866000000	65.6	
T	27.988000000	-82.020000000	39.5	
T	28.039000000	-97.542000000	14.7	
T	41.148000000	-81.416000000	339.8	
T	39.567000000	-76.202000000	120.3	
T	28.987000000	-80.926000000	3.2	
T	45.350000000	-122.240000000	350.6	
T	27.654000000	-80.423000000	6.0	
T	33.520000000	-95.338000000	122.6	
T	32.301000000	-96.372000000	98.6	
T	26.249000000	-80.118000000	5.6	
T	45.927000000	-118.131000000	1316.2	
T	38.288000000	-75.092000000	0.0	
T	31.920000000	-102.390000000	903.7	
T	29.431000000	-81.676000000	-0.2	
T	33.507000000	-90.270000000	38.0	
T	64.191000000	-51.678000000	70.0	
T	60.938000000	-164.640000000	3.0	
T	28.707000000	-81.582000000	38.7	
T	35.927000000	-78.248000000	53.2	
T	34.264000000	-110.013000000	1947.9	
T	28.228000000	-82.156000000	25.6	
T	40.465000000	-86.613000000	211.7	
T	32.819000000	-117.123000000	130.9	
T	31.156000000	-81.391000000	4.6	
T	31.156000000	-81.391000000	4.6	
T	30.000000000	-85.000000000	7.6	
T	30.336000000	-81.514000000	11.9	
T	15.115000000	145.717000000	62.7	
T	39.050000000	-119.794000000	1420.5	
T	40.903000000	-82.256000000	365.1	
T	41.288000000	-110.982000000	2037.0	
T	38.059000000	-83.980000000	299.7	
T	61.580000000	-150.410000000	13.4	
T	39.909000000	-105.117000000	1714.0	
T	33.688000000	-112.082000000	445.7	
T	41.781000000	-122.468000000	806.8	
T	35.765000000	-80.954000000	294.3	
T	39.192000000	-119.732000000	1432.5	
T	39.191000000	-119.726000000	1434.8	
T	32.967000000	-97.275000000	215.9	
T	46.921000000	-96.816000000	273.6	
T	32.817000000	-116.983000000	141.4	
T	44.580000000	-124.058000000	41.4	
T	32.374000000	-82.080000000	59.5	
T	58.373000000	-134.051000000	0.0	
T	42.184000000	-73.407000000	225.6	
T	37.870000000	-96.690000000	428.9	
T	36.211000000	-115.194000000	667.1	
T	34.346000000	-119.063000000	73.8	
T	40.621000000	-73.273000000	0.0	
T	31.000000000	-86.000000000	26.2	
T	41.520000000	-72.820000000	70.7	
T	40.231000000	-87.411000000	186.8	
T	32.756000000	-108.210000000	1847.1	
T	40.440000000	-105.007000000	1529.8	
T	24.957000000	-81.051000000	0.0	
T	33.180000000	-96.589000000	172.4	
T	29.723000000	-98.694000000	421.1	
T	41.196000000	-96.112000000	317.2	
T	26.339000000	-81.664000000	4.9	
T	32.449000000	-99.733000000	522.3	
T	41.200000000	-74.623000000	123.5	
T	39.402000000	-77.983000000	164.4	
T	38.776000000	-122.992000000	81.2	
T	39.500000000	-119.768000000	1342.1	
T	34.233000000	-117.171000000	1735.4	
T	33.621000000	-111.913000000	445.6	
T	58.356000000	-134.580000000	6.2	
T	46.161000000	-123.640000000	38.8	
T	33.898000000	-117.602000000	160.3	
T	40.169000000	-105.173000000	1542.6	
T	34.199000000	-96.674000000	196.0	
T	44.142000000	-115.314000000	1467.7	
T	40.891000000	-117.807000000	1310.9	
T	40.399000000	-115.420000000	1817.8	
T	42.843000000	-76.445000000	305.6	
T	40.145000000	-111.668000000	1379.4	
T	41.003000000	-81.756000000	294.4	
T	36.732000000	-97.100000000	306.1	
T	45.247000000	-122.770000000	60.3	
T	37.378000000	-79.121000000	254.1	
T	34.092000000	-117.248000000	331.2	
T	44.485000000	-103.788000000	1182.1	
T	39.443000000	-122.960000000	559.8	
T	33.673000000	-117.867000000	14.9	
T	35.491000000	-82.059000000	417.8	
T	43.064000000	-108.460000000	1666.6	
T	27.946000000	-81.774000000	33.9	
T	41.344000000	-92.663000000	230.9	
T	41.944000000	-83.433000000	187.0	
T	27.074000000	-82.437000000	5.2	
T	44.222000000	-93.918000000	309.0	
T	29.109000000	-95.462000000	8.4	
T	40.166000000	-105.166000000	1538.1	
T	33.688000000	-112.082000000	445.7	
T	32.493000000	-80.992000000	22.8	
T	38.428000000	-92.875000000	311.8	
T	35.968000000	-83.900000000	274.3	
T	61.731000000	-150.672000000	19.7	
T	61.752000000	-150.053000000	63.8	
T	61.752000000	-150.053000000	63.8	
T	30.678000000	-97.400000000	164.1	
T	43.961000000	-69.712000000	16.7	
T	36.050000000	-79.473000000	181.9	
T	36.087000000	-78.138000000	96.6	
T	39.372000000	-85.248000000	270.0	
T	38.086000000	-120.759000000	313.6	
T	26.177000000	-80.176000000	0.1	
T	25.644000000	-80.456000000	2.2	
T	21.133000000	-157.150000000	388.1	
T	32.825000000	-117.171000000	116.4	
T	35.207000000	-97.970000000	366.3	
T	38.512000000	-121.493000000	6.1	
T	43.078000000	-94.272000000	369.6	
T	28.765000000	-81.061000000	0.0	
T	47.908000000	-122.281000000	180.0	
T	17.700000000	-64.817000000	21.5	
T	38.400000000	-90.370000000	153.7	
T	33.527000000	-112.295000000	319.5	
T	36.781000000	-76.451000000	6.4	
T	31.011000000	-87.037000000	57.4	
